time_seconds;temperature
0;24.32000
300;24.56000
600;24.70000
900;24.66000
1200;24.75000
1500;24.59000
1800;24.77000
2100;24.70000
2400;24.61000
2700;24.52000
3000;24.56000
3300;24.45000
3600;24.52000
3900;24.63000
4200;24.63000
4500;24.56000
4800;24.47000
5100;24.34000
5400;24.41000
5700;24.52000
6000;24.41000
6300;24.59000
6600;24.41000
6900;24.36000
7200;24.34000
7500;24.34000
7800;24.36000
8100;24.20000
8400;24.24000
8700;24.34000
9000;24.29000
9300;24.41000
9600;24.27000
9900;24.27000
10200;24.13000
10500;24.24000
10800;24.13000
11100;24.13000
11400;24.24000
11700;24.27000
12000;24.10000
12300;24.20000
12600;24.20000
12900;24.20000
13200;24.17000
13500;24.22000
13800;24.03000
14100;24.08000
14400;24.10000
14700;24.13000
15000;23.96000
15300;24.01000
15600;24.03000
15900;24.03000
16200;23.96000
16500;24.13000
16800;23.96000
17100;24.01000
17400;24.01000
17700;23.96000
18000;24.03000
18300;24.01000
18600;23.98000
18900;23.87000
19200;23.73000
19500;23.82000
19800;23.82000
20100;23.87000
20400;23.82000
20700;23.73000
21000;23.59000
21300;23.77000
21600;23.77000
21900;23.61000
22200;23.61000
22500;23.61000
22800;23.54000
23100;23.59000
23400;23.61000
23700;23.54000
24000;23.63000
24300;23.63000
24600;23.59000
24900;23.61000
25200;23.59000
25500;23.68000
25800;23.73000
26100;23.59000
26400;23.61000
26700;23.38000
27000;23.41000
27300;23.41000
27600;23.25000
27900;23.38000
28200;23.32000
28500;23.34000
28800;23.16000
29100;23.54000
29400;23.52000
29700;23.70000
30000;23.84000
30300;23.98000
30600;23.91000
30900;23.91000
31200;23.91000
31500;23.98000
31800;23.96000
32100;23.96000
32400;23.73000
32700;23.70000
33000;23.70000
33300;23.77000
33600;23.80000
33900;24.06000
34200;24.24000
34500;24.17000
34800;24.34000
35100;24.43000
35400;24.43000
35700;24.47000
36000;24.75000
36300;24.72000
36600;24.75000
36900;24.75000
37200;24.86000
37500;24.93000
37800;24.86000
38100;24.84000
38400;25.11000
38700;25.00000
39000;25.11000
39300;25.14000
39600;25.09000
39900;25.25000
40200;25.21000
40500;25.37000
40800;25.28000
41100;25.39000
41400;25.30000
41700;25.23000
42000;25.49000
42300;25.63000
42600;25.42000
42900;25.53000
43200;25.56000
43500;25.35000
43800;25.14000
44100;25.16000
44400;25.09000
44700;24.95000
45000;24.84000
45300;24.68000
45600;24.68000
45900;24.68000
46200;24.95000
46500;25.11000
46800;25.18000
47100;25.23000
47400;25.18000
47700;25.28000
48000;25.42000
48300;25.42000
48600;25.44000
48900;25.60000
49200;25.65000
49500;25.58000
49800;25.77000
50100;25.42000
50400;25.18000
50700;25.07000
51000;25.32000
51300;25.21000
51600;25.09000
51900;25.02000
52200;25.09000
52500;25.21000
52800;25.07000
53100;25.18000
53400;25.42000
53700;25.35000
54000;25.56000
54300;25.65000
54600;25.60000
54900;25.77000
55200;25.77000
55500;25.82000
55800;25.84000
56100;25.72000
56400;25.89000
56700;25.86000
57000;26.03000
57300;26.00000
57600;26.10000
57900;26.05000
58200;26.10000
58500;26.19000
58800;26.21000
59100;26.10000
59400;26.10000
59700;25.96000
60000;25.89000
60300;25.77000
60600;25.79000
60900;25.53000
61200;25.07000
61500;25.00000
61800;25.14000
62100;25.00000
62400;24.75000
62700;24.66000
63000;24.50000
63300;24.56000
63600;24.59000
63900;24.52000
64200;24.59000
64500;24.22000
64800;24.36000
65100;24.38000
65400;24.27000
65700;24.20000
66000;24.08000
66300;24.15000
66600;24.20000
66900;24.06000
67200;24.10000
67500;23.94000
67800;24.01000
68100;24.27000
68400;23.84000
68700;23.94000
69000;23.75000
69300;23.91000
69600;23.87000
69900;23.94000
70200;23.77000
70500;23.75000
70800;23.82000
71100;23.84000
71400;23.91000
71700;23.66000
72000;24.06000
72300;23.89000
72600;23.94000
72900;23.87000
73200;24.06000
73500;23.91000
73800;23.89000
74100;24.13000
74400;24.03000
74700;23.82000
75000;23.98000
75300;24.13000
75600;24.24000
75900;24.43000
76200;24.52000
76500;24.52000
76800;24.63000
77100;24.61000
77400;24.66000
77700;24.66000
78000;24.66000
78300;24.50000
78600;24.63000
78900;24.50000
79200;24.63000
79500;24.56000
79800;24.43000
80100;24.45000
80400;24.56000
80700;24.56000
81000;24.54000
81300;24.43000
81600;24.56000
81900;24.47000
82200;24.47000
82500;24.50000
82800;24.38000
83100;24.43000
83400;24.41000
83700;24.38000
84000;24.59000
84300;24.54000
84600;24.29000
84900;24.36000
85200;24.38000
85500;24.34000
85800;24.22000
86100;24.27000
